"thematic","Grupo de documentos","total_value"
"Familia_llar",2005,15
"Familia_llar",2006,13
"Familia_llar",2007,14
"Familia_llar",2008,26
"Familia_llar",2009,37
"Familia_llar",2010,12
"Familia_llar",2011,22
"Familia_llar",2012,140
"Familia_llar",2013,46
"Familia_llar",2014,135
"Familia_llar",2015,104
"Familia_llar",2016,104
"Familia_llar",2017,147
"Familia_llar",2018,109
"Familia_llar",2019,155
"Familia_llar",2020,195
"Familia_llar",2021,150
"Familia_llar",2022,170
"Familia_llar",2023,143
"Violencia",2005,8
"Violencia",2006,2
"Violencia",2007,15
"Violencia",2008,10
"Violencia",2009,6
"Violencia",2010,7
"Violencia",2011,17
"Violencia",2012,2
"Violencia",2013,6
"Violencia",2014,20
"Violencia",2015,16
"Violencia",2016,29
"Violencia",2017,48
"Violencia",2018,43
"Violencia",2019,143
"Violencia",2020,51
"Violencia",2021,71
"Violencia",2022,148
"Violencia",2023,93
"fem_igualtat",2005,10
"fem_igualtat",2006,8
"fem_igualtat",2007,24
"fem_igualtat",2008,25
"fem_igualtat",2009,17
"fem_igualtat",2010,11
"fem_igualtat",2011,6
"fem_igualtat",2012,3
"fem_igualtat",2013,52
"fem_igualtat",2014,34
"fem_igualtat",2015,42
"fem_igualtat",2016,87
"fem_igualtat",2017,115
"fem_igualtat",2018,78
"fem_igualtat",2019,405
"fem_igualtat",2020,205
"fem_igualtat",2021,355
"fem_igualtat",2022,495
"fem_igualtat",2023,340
"represenatcio",2005,2
"represenatcio",2006,0
"represenatcio",2007,4
"represenatcio",2008,0
"represenatcio",2009,1
"represenatcio",2010,1
"represenatcio",2011,6
"represenatcio",2012,0
"represenatcio",2013,2
"represenatcio",2014,7
"represenatcio",2015,14
"represenatcio",2016,3
"represenatcio",2017,5
"represenatcio",2018,2
"represenatcio",2019,4
"represenatcio",2020,1
"represenatcio",2021,3
"represenatcio",2022,8
"represenatcio",2023,5
"salut_sexual",2005,29
"salut_sexual",2006,21
"salut_sexual",2007,59
"salut_sexual",2008,68
"salut_sexual",2009,96
"salut_sexual",2010,55
"salut_sexual",2011,5
"salut_sexual",2012,14
"salut_sexual",2013,129
"salut_sexual",2014,95
"salut_sexual",2015,50
"salut_sexual",2016,19
"salut_sexual",2017,27
"salut_sexual",2018,11
"salut_sexual",2019,52
"salut_sexual",2020,47
"salut_sexual",2021,192
"salut_sexual",2022,120
"salut_sexual",2023,168
"treball",2005,6
"treball",2006,3
"treball",2007,0
"treball",2008,11
"treball",2009,0
"treball",2010,1
"treball",2011,7
"treball",2012,5
"treball",2013,7
"treball",2014,10
"treball",2015,10
"treball",2016,34
"treball",2017,18
"treball",2018,5
"treball",2019,87
"treball",2020,22
"treball",2021,14
"treball",2022,45
"treball",2023,34
"treball_sex",2005,12
"treball_sex",2006,14
"treball_sex",2007,10
"treball_sex",2008,25
"treball_sex",2009,8
"treball_sex",2010,1
"treball_sex",2011,165
"treball_sex",2012,13
"treball_sex",2013,4
"treball_sex",2014,3
"treball_sex",2015,3
"treball_sex",2016,14
"treball_sex",2017,6
"treball_sex",2018,2
"treball_sex",2019,18
"treball_sex",2020,20
"treball_sex",2021,6
"treball_sex",2022,223
"treball_sex",2023,28
